check,group_id,split,source_image
source_group,102_jpg,train,train/images/102_jpg.rf.3wx5Cmv1lxM1XIfBb0uT.jpg
source_group,102_jpg,val,valid/images/102_jpg.rf.aGlzaJJBgkwn6hba5pjU.jpg
source_group,45_jpg,train,train/images/45_jpg.rf.CuyZwR80RoUpYIKYCLni.jpg
source_group,45_jpg,test,test/images/45_jpg.rf.SbMN8VRXT2XZ0h4tSEqU.jpg
source_group,46_jpg,train,train/images/46_jpg.rf.wGcF5Oz0sXVw6D3QmENo.jpg
source_group,46_jpg,val,valid/images/46_jpg.rf.nCV9UM68rLYpTQjtdpuC.jpg
source_group,60_jpg,train,train/images/60_jpg.rf.Bp5HefAP1B6M0SVZAh02.jpg
source_group,60_jpg,val,valid/images/60_jpg.rf.hGKoaAC2tGPafehNFvrG.jpg
source_group,68_jpg,train,train/images/68_jpg.rf.B50uOlKMvonuomCIiQuP.jpg
source_group,68_jpg,val,valid/images/68_jpg.rf.JnNPxM9po38LOPIaYAKs.jpg
source_group,75_jpg,train,train/images/75_jpg.rf.Y1OukSUzCeJssXjYuwgv.jpg
source_group,75_jpg,val,valid/images/75_jpg.rf.es6qldlQZAwrxEUv0shJ.jpg
source_group,98_jpg,train,train/images/98_jpg.rf.5SY9QlD82zLJFQ6TnzlD.jpg
source_group,98_jpg,val,valid/images/98_jpg.rf.ETKvdH1jGNYZwBS7tvxu.jpg
source_group,58_jpg,val,valid/images/58_jpg.rf.goMDiZZ1PjfVoFc0PLWm.jpg
source_group,58_jpg,test,test/images/58_jpg.rf.5rsWZb8ksyPsJGN6fwkH.jpg
source_group,99_jpg,val,valid/images/99_jpg.rf.WXvpaFWg3m0TTyHT0rxt.jpg
source_group,99_jpg,test,test/images/99_jpg.rf.xFAWzR61smwYkc4zwNqd.jpg
plate_id,plate_54e474bf83eaf3f1dc1917a1,train,train/images/102_jpg.rf.3wx5Cmv1lxM1XIfBb0uT.jpg
plate_id,plate_54e474bf83eaf3f1dc1917a1,val,valid/images/102_jpg.rf.aGlzaJJBgkwn6hba5pjU.jpg
plate_id,plate_88d4f9ecf9f89b90c4134b0f,train,train/images/45_jpg.rf.CuyZwR80RoUpYIKYCLni.jpg
plate_id,plate_88d4f9ecf9f89b90c4134b0f,test,test/images/45_jpg.rf.SbMN8VRXT2XZ0h4tSEqU.jpg
plate_id,plate_70f0a5ef0ed1d166f8718112,train,train/images/46_jpg.rf.wGcF5Oz0sXVw6D3QmENo.jpg
plate_id,plate_70f0a5ef0ed1d166f8718112,val,valid/images/46_jpg.rf.nCV9UM68rLYpTQjtdpuC.jpg
plate_id,plate_59db62ee9ece6fd3c9235318,train,train/images/60_jpg.rf.Bp5HefAP1B6M0SVZAh02.jpg
plate_id,plate_59db62ee9ece6fd3c9235318,val,valid/images/60_jpg.rf.hGKoaAC2tGPafehNFvrG.jpg
plate_id,plate_1c7826d7dc3111662f687869,train,train/images/68_jpg.rf.B50uOlKMvonuomCIiQuP.jpg
plate_id,plate_1c7826d7dc3111662f687869,val,valid/images/68_jpg.rf.JnNPxM9po38LOPIaYAKs.jpg
plate_id,plate_67763bca4ea488dd1a56d3fd,train,train/images/75_jpg.rf.Y1OukSUzCeJssXjYuwgv.jpg
plate_id,plate_67763bca4ea488dd1a56d3fd,val,valid/images/75_jpg.rf.es6qldlQZAwrxEUv0shJ.jpg
plate_id,plate_71260e90ab27b48d6fafc02c,train,train/images/98_jpg.rf.5SY9QlD82zLJFQ6TnzlD.jpg
plate_id,plate_71260e90ab27b48d6fafc02c,val,valid/images/98_jpg.rf.ETKvdH1jGNYZwBS7tvxu.jpg
plate_id,plate_0a586064b3342ac0eb02d6e8,val,valid/images/58_jpg.rf.goMDiZZ1PjfVoFc0PLWm.jpg
plate_id,plate_0a586064b3342ac0eb02d6e8,test,test/images/58_jpg.rf.5rsWZb8ksyPsJGN6fwkH.jpg
plate_id,plate_bd1c2c8359dcd4b000cef269,val,valid/images/99_jpg.rf.WXvpaFWg3m0TTyHT0rxt.jpg
plate_id,plate_bd1c2c8359dcd4b000cef269,test,test/images/99_jpg.rf.xFAWzR61smwYkc4zwNqd.jpg
