severity,category,source_image,detail
error,invalid_image_or_label,train/images/20240211_111449_jpg.rf.nzmtGqmNuTmeRxEXiXW8.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_114334_jpg.rf.PeTMZJwnMMZ3Ic9wg9Ug.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_114358_jpg.rf.37NQ3qYrZ0UIQMjYja0e.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_131550_jpg.rf.7Kih8VRaWMLts2HOQLIg.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_131633_jpg.rf.L1eKkinn0obnNRM6NnlO.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_131650_jpg.rf.6Do13FzAhnjeSFyEuxyg.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_131704_jpg.rf.sfsUIr02MFYurW8Yb7Fg.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_131711_jpg.rf.TfNAo6zbizUXnflKdBLd.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_142049_jpg.rf.dvQzSUr5hhvL126kkqAi.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_143608_jpg.rf.yhYLQxJTECI6y8a02xB5.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_143910_jpg.rf.63o5CyAgCCZIn4wwljSw.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_143922_jpg.rf.o6GVFdz3SHPHVuw3mFVx.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_143930_jpg.rf.zGcXsHl77pHmdGMMKxNy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144252_jpg.rf.hYA8qPVrWHU1EAXpHud2.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144257_jpg.rf.QfJech7sX5zPSmMxgm5J.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144318_jpg.rf.SmOeQAexrajBSWjkcjPW.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144402_jpg.rf.VrUfYI7Qdm9JKp8wT2BW.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144406_jpg.rf.9dMqBDGSd283KFg2EWpA.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144510_jpg.rf.vsGDy9Mk1SrwRd4ZE8BJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144522_jpg.rf.Tlm9cPwjBV8DFAXwW7HZ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144533_jpg.rf.X6l8BFsKwBzl53kK6Xul.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144618_jpg.rf.Nr0Pxk4aQzhSvekXDptL.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144636_jpg.rf.rSJQowBM6cJaKbhmYRHy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144711_jpg.rf.4JnHGzm6jHJNbRQHZsw3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144805_jpg.rf.8zXNBLGnCNKj4j1N1Kce.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_144941_jpg.rf.ec0R0Rcyex0mwbogZVRZ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145011_jpg.rf.8dU4qvzyLiiUAN0DCZt8.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145328_jpg.rf.6kelLfLBLXaKWCDelqbx.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145405_jpg.rf.VAd9kZ8e4V0HhYsJDRiQ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145433_jpg.rf.asjuRd1DA3Q8PZzOHHxw.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145444_jpg.rf.eiNFAwFIQFra3C1W6jwt.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145449_jpg.rf.sthzV7RoTe5MCC7Ug4Ij.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145502_jpg.rf.zMOpvFN33X5iGqGrsWK4.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145900_jpg.rf.UBvxwyWBRk0iPYoPiOjq.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_145906_jpg.rf.dhfdGqtBbRbqElEhZwHl.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150010_jpg.rf.eOPZ1KIGzyW5dOsToYMy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150021_jpg.rf.xZ59dytRF0WdRQpQgv0j.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150102_jpg.rf.Vs2nPhOopYClyIOk0RK6.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150123_jpg.rf.Wqewt2oKFUxH0toQwnoe.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150146_jpg.rf.dI4bhl7mTtanGDPCK00b.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150233_jpg.rf.euoBmbbONr1dbQwK3lHG.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150303_jpg.rf.yCcdmeOPy2J45GIvMvUC.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150321_jpg.rf.HmDitqUqvtp2rVzHwTJ3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150534_jpg.rf.WtyNPlcCcDxm5df1dvCB.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150824_jpg.rf.NtFKbmfecPF0oyPRlkjs.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150952_jpg.rf.Jn4EsfHqi2U8Y15EfBk7.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151030_jpg.rf.kXELfwwx2IOEr94LloBe.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151217_jpg.rf.K6Ah0XoWGngRKLfa6erd.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151437_jpg.rf.rPDQUYMHoPhZmncJvkVJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151516_jpg.rf.rQOyVUxHu2PYS9zE5Ent.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151545_jpg.rf.v1ciwXDiqd0pfPlfyuFJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151646_jpg.rf.WEzXWjCh38U5enrNzeJy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151912_jpg.rf.HIrEbFgPYrG2ZmYH3evV.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
