filename,words,split,plate_id
clean_plates/test/img_ea68a56baf907ec03b34__p001.png,,test,plate_17cf113dca280cc0fb3f2f88
defocus_blurr_plate/test/img_ea68a56baf907ec03b34__p001.png,,test,plate_17cf113dca280cc0fb3f2f88
gaussian_blurr_plate/test/img_ea68a56baf907ec03b34__p001.png,,test,plate_17cf113dca280cc0fb3f2f88
motion_blurr_plate/test/img_ea68a56baf907ec03b34__p001.png,,test,plate_17cf113dca280cc0fb3f2f88
clean_plates/test/img_1329081ac75a2ccf9419__p001.png,,test,plate_2923fad3e339abac1a141869
defocus_blurr_plate/test/img_1329081ac75a2ccf9419__p001.png,,test,plate_2923fad3e339abac1a141869
gaussian_blurr_plate/test/img_1329081ac75a2ccf9419__p001.png,,test,plate_2923fad3e339abac1a141869
motion_blurr_plate/test/img_1329081ac75a2ccf9419__p001.png,,test,plate_2923fad3e339abac1a141869
clean_plates/test/img_ce8928547ef8cda4189e__p001.png,,test,plate_aed0a017b140e311ebfcac63
defocus_blurr_plate/test/img_ce8928547ef8cda4189e__p001.png,,test,plate_aed0a017b140e311ebfcac63
gaussian_blurr_plate/test/img_ce8928547ef8cda4189e__p001.png,,test,plate_aed0a017b140e311ebfcac63
motion_blurr_plate/test/img_ce8928547ef8cda4189e__p001.png,,test,plate_aed0a017b140e311ebfcac63
clean_plates/test/img_de083f3ea5dd8d80fd39__p001.png,,test,plate_f5bc8899a0a264d715e2078b
defocus_blurr_plate/test/img_de083f3ea5dd8d80fd39__p001.png,,test,plate_f5bc8899a0a264d715e2078b
gaussian_blurr_plate/test/img_de083f3ea5dd8d80fd39__p001.png,,test,plate_f5bc8899a0a264d715e2078b
motion_blurr_plate/test/img_de083f3ea5dd8d80fd39__p001.png,,test,plate_f5bc8899a0a264d715e2078b
clean_plates/train/img_bcfdd17261a787b69288__p001.png,,train,plate_37a9486e5aff59bd0c0bb86b
defocus_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,,train,plate_37a9486e5aff59bd0c0bb86b
gaussian_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,,train,plate_37a9486e5aff59bd0c0bb86b
motion_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,,train,plate_37a9486e5aff59bd0c0bb86b
clean_plates/train/img_71d5334bfe32f4f98bf3__p001.png,,train,plate_90b009270ed1194e17e0e8db
defocus_blurr_plate/train/img_71d5334bfe32f4f98bf3__p001.png,,train,plate_90b009270ed1194e17e0e8db
gaussian_blurr_plate/train/img_71d5334bfe32f4f98bf3__p001.png,,train,plate_90b009270ed1194e17e0e8db
motion_blurr_plate/train/img_71d5334bfe32f4f98bf3__p001.png,,train,plate_90b009270ed1194e17e0e8db
clean_plates/train/img_03f1e1a286debdd0f502__p001.png,,train,plate_a2334dd37691f5ac3af3a8e7
defocus_blurr_plate/train/img_03f1e1a286debdd0f502__p001.png,,train,plate_a2334dd37691f5ac3af3a8e7
gaussian_blurr_plate/train/img_03f1e1a286debdd0f502__p001.png,,train,plate_a2334dd37691f5ac3af3a8e7
motion_blurr_plate/train/img_03f1e1a286debdd0f502__p001.png,,train,plate_a2334dd37691f5ac3af3a8e7
clean_plates/train/img_fb63813abec11a49d78a__p001.png,,train,plate_d6d9f86ccd705b71793bea07
defocus_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,,train,plate_d6d9f86ccd705b71793bea07
gaussian_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,,train,plate_d6d9f86ccd705b71793bea07
motion_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,,train,plate_d6d9f86ccd705b71793bea07
clean_plates/val/img_762c174381e2eefac15e__p001.png,,val,plate_4846d29ec44e2f0b115f0cac
defocus_blurr_plate/val/img_762c174381e2eefac15e__p001.png,,val,plate_4846d29ec44e2f0b115f0cac
gaussian_blurr_plate/val/img_762c174381e2eefac15e__p001.png,,val,plate_4846d29ec44e2f0b115f0cac
motion_blurr_plate/val/img_762c174381e2eefac15e__p001.png,,val,plate_4846d29ec44e2f0b115f0cac
clean_plates/val/img_7800b7811976447befae__p001.png,,val,plate_5c6ddf9d2ef172c11ae15bbd
defocus_blurr_plate/val/img_7800b7811976447befae__p001.png,,val,plate_5c6ddf9d2ef172c11ae15bbd
gaussian_blurr_plate/val/img_7800b7811976447befae__p001.png,,val,plate_5c6ddf9d2ef172c11ae15bbd
motion_blurr_plate/val/img_7800b7811976447befae__p001.png,,val,plate_5c6ddf9d2ef172c11ae15bbd
clean_plates/val/img_4a2b7eb07c98de0747e4__p001.png,,val,plate_a24f50203988e6402c563bb3
defocus_blurr_plate/val/img_4a2b7eb07c98de0747e4__p001.png,,val,plate_a24f50203988e6402c563bb3
gaussian_blurr_plate/val/img_4a2b7eb07c98de0747e4__p001.png,,val,plate_a24f50203988e6402c563bb3
motion_blurr_plate/val/img_4a2b7eb07c98de0747e4__p001.png,,val,plate_a24f50203988e6402c563bb3
clean_plates/val/img_8c3faaee43cd5bd74289__p001.png,,val,plate_bd84c22a5f6c89c13d178a72
defocus_blurr_plate/val/img_8c3faaee43cd5bd74289__p001.png,,val,plate_bd84c22a5f6c89c13d178a72
gaussian_blurr_plate/val/img_8c3faaee43cd5bd74289__p001.png,,val,plate_bd84c22a5f6c89c13d178a72
motion_blurr_plate/val/img_8c3faaee43cd5bd74289__p001.png,,val,plate_bd84c22a5f6c89c13d178a72
