variant,split,image_id,source_image,image,label,blur_parameters
clean,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/clean/train/images/img_bcfdd17261a787b69288.png,detector_data/clean/train/labels/img_bcfdd17261a787b69288.txt,{}
motion_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/motion_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/motion_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.2640104435110868, ""motion_angle_deg"": 40.32329553207683, ""motion_length_px"": 9}"
defocus_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/defocus_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/defocus_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.2640104435110868, ""motion_angle_deg"": 40.32329553207683, ""motion_length_px"": 9}"
gaussian_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/gaussian_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/gaussian_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.2640104435110868, ""motion_angle_deg"": 40.32329553207683, ""motion_length_px"": 9}"
clean,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/clean/train/images/img_fb63813abec11a49d78a.png,detector_data/clean/train/labels/img_fb63813abec11a49d78a.txt,{}
motion_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/motion_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/motion_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.5640004985561964, ""motion_angle_deg"": 148.33477373072176, ""motion_length_px"": 5}"
defocus_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/defocus_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/defocus_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.5640004985561964, ""motion_angle_deg"": 148.33477373072176, ""motion_length_px"": 5}"
gaussian_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/gaussian_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/gaussian_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 2, ""gaussian_sigma_px"": 1.5640004985561964, ""motion_angle_deg"": 148.33477373072176, ""motion_length_px"": 5}"
clean,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/clean/train/images/img_03f1e1a286debdd0f502.png,detector_data/clean/train/labels/img_03f1e1a286debdd0f502.txt,{}
motion_blur,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/motion_blur/train/images/img_03f1e1a286debdd0f502.png,detector_data/motion_blur/train/labels/img_03f1e1a286debdd0f502.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 4.0, ""motion_angle_deg"": 95.99460841909573, ""motion_length_px"": 31}"
