filename,variant,split,plate_id,source_image,image_id,annotation_index,class_id,crop_width,crop_height,given_corners_normalized,blur_parameters
clean_plates/train/img_bcfdd17261a787b69288__p001.png,clean,train,plate_37a9486e5aff59bd0c0bb86b,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,img_bcfdd17261a787b69288,1,0,132,58,"[[0.6625530614285744, 0.7220547389047506], [0.6569751742632604, 0.6765489701531164], [0.5202548089230397, 0.6859953045515104], [0.5258326960883537, 0.7315010733031445]]",{}
motion_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,motion_blur,train,plate_37a9486e5aff59bd0c0bb86b,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,img_bcfdd17261a787b69288,1,0,132,58,"[[0.6625530614285744, 0.7220547389047506], [0.6569751742632604, 0.6765489701531164], [0.5202548089230397, 0.6859953045515104], [0.5258326960883537, 0.7315010733031445]]","{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
defocus_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,defocus_blur,train,plate_37a9486e5aff59bd0c0bb86b,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,img_bcfdd17261a787b69288,1,0,132,58,"[[0.6625530614285744, 0.7220547389047506], [0.6569751742632604, 0.6765489701531164], [0.5202548089230397, 0.6859953045515104], [0.5258326960883537, 0.7315010733031445]]","{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
gaussian_blurr_plate/train/img_bcfdd17261a787b69288__p001.png,gaussian_blur,train,plate_37a9486e5aff59bd0c0bb86b,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,img_bcfdd17261a787b69288,1,0,132,58,"[[0.6625530614285744, 0.7220547389047506], [0.6569751742632604, 0.6765489701531164], [0.5202548089230397, 0.6859953045515104], [0.5258326960883537, 0.7315010733031445]]","{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
clean_plates/train/img_fb63813abec11a49d78a__p001.png,clean,train,plate_d6d9f86ccd705b71793bea07,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,img_fb63813abec11a49d78a,1,0,128,61,"[[0.24748062207612687, 0.6917666498217218], [0.08141026918725448, 0.667996597283137], [0.06698554385690157, 0.7304952483714486], [0.2330558967457739, 0.7542653009100334]]",{}
motion_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,motion_blur,train,plate_d6d9f86ccd705b71793bea07,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,img_fb63813abec11a49d78a,1,0,128,61,"[[0.24748062207612687, 0.6917666498217218], [0.08141026918725448, 0.667996597283137], [0.06698554385690157, 0.7304952483714486], [0.2330558967457739, 0.7542653009100334]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
defocus_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,defocus_blur,train,plate_d6d9f86ccd705b71793bea07,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,img_fb63813abec11a49d78a,1,0,128,61,"[[0.24748062207612687, 0.6917666498217218], [0.08141026918725448, 0.667996597283137], [0.06698554385690157, 0.7304952483714486], [0.2330558967457739, 0.7542653009100334]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
gaussian_blurr_plate/train/img_fb63813abec11a49d78a__p001.png,gaussian_blur,train,plate_d6d9f86ccd705b71793bea07,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,img_fb63813abec11a49d78a,1,0,128,61,"[[0.24748062207612687, 0.6917666498217218], [0.08141026918725448, 0.667996597283137], [0.06698554385690157, 0.7304952483714486], [0.2330558967457739, 0.7542653009100334]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
clean_plates/train/img_03f1e1a286debdd0f502__p001.png,clean,train,plate_a2334dd37691f5ac3af3a8e7,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,img_03f1e1a286debdd0f502,1,0,699,414,"[[0.684, 0.19375000000000006], [0.451, 0.19375000000000006], [0.451, 0.29725000000000007], [0.684, 0.2972500000000001]]",{}
motion_blurr_plate/train/img_03f1e1a286debdd0f502__p001.png,motion_blur,train,plate_a2334dd37691f5ac3af3a8e7,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,img_03f1e1a286debdd0f502,1,0,699,414,"[[0.684, 0.19375000000000006], [0.451, 0.19375000000000006], [0.451, 0.29725000000000007], [0.684, 0.2972500000000001]]","{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 164.8721571443156, ""motion_length_px"": 43}"
