variant,split,image_id,source_image,image,label,blur_parameters
clean,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/clean/train/images/img_bcfdd17261a787b69288.png,detector_data/clean/train/labels/img_bcfdd17261a787b69288.txt,{}
motion_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/motion_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/motion_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
defocus_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/defocus_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/defocus_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
gaussian_blur,train,img_bcfdd17261a787b69288,train/images/IMG_20190413_122349_jpg.rf.8ByhDW1sZ4pdPZHwWPaB.jpg,detector_data/gaussian_blur/train/images/img_bcfdd17261a787b69288.png,detector_data/gaussian_blur/train/labels/img_bcfdd17261a787b69288.txt,"{""defocus_radius_px"": 3, ""gaussian_sigma_px"": 2.1897572818493565, ""motion_angle_deg"": 173.84084481056425, ""motion_length_px"": 7}"
clean,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/clean/train/images/img_fb63813abec11a49d78a.png,detector_data/clean/train/labels/img_fb63813abec11a49d78a.txt,{}
motion_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/motion_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/motion_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
defocus_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/defocus_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/defocus_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
gaussian_blur,train,img_fb63813abec11a49d78a,train/images/85_jpg.rf.5ot9diKeqqapXlFdzrdY.jpg,detector_data/gaussian_blur/train/images/img_fb63813abec11a49d78a.png,detector_data/gaussian_blur/train/labels/img_fb63813abec11a49d78a.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.0284635089655008, ""motion_angle_deg"": 32.953860683087434, ""motion_length_px"": 13}"
clean,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/clean/train/images/img_03f1e1a286debdd0f502.png,detector_data/clean/train/labels/img_03f1e1a286debdd0f502.txt,{}
motion_blur,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/motion_blur/train/images/img_03f1e1a286debdd0f502.png,detector_data/motion_blur/train/labels/img_03f1e1a286debdd0f502.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 164.8721571443156, ""motion_length_px"": 43}"
defocus_blur,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/defocus_blur/train/images/img_03f1e1a286debdd0f502.png,detector_data/defocus_blur/train/labels/img_03f1e1a286debdd0f502.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 164.8721571443156, ""motion_length_px"": 43}"
gaussian_blur,train,img_03f1e1a286debdd0f502,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,detector_data/gaussian_blur/train/images/img_03f1e1a286debdd0f502.png,detector_data/gaussian_blur/train/labels/img_03f1e1a286debdd0f502.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 164.8721571443156, ""motion_length_px"": 43}"
clean,train,img_71d5334bfe32f4f98bf3,train/images/20240218_173304_jpg.rf.wztoJBBQYYmiLN6iafRg.jpg,detector_data/clean/train/images/img_71d5334bfe32f4f98bf3.png,detector_data/clean/train/labels/img_71d5334bfe32f4f98bf3.txt,{}
motion_blur,train,img_71d5334bfe32f4f98bf3,train/images/20240218_173304_jpg.rf.wztoJBBQYYmiLN6iafRg.jpg,detector_data/motion_blur/train/images/img_71d5334bfe32f4f98bf3.png,detector_data/motion_blur/train/labels/img_71d5334bfe32f4f98bf3.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 104.1623475760873, ""motion_length_px"": 43}"
defocus_blur,train,img_71d5334bfe32f4f98bf3,train/images/20240218_173304_jpg.rf.wztoJBBQYYmiLN6iafRg.jpg,detector_data/defocus_blur/train/images/img_71d5334bfe32f4f98bf3.png,detector_data/defocus_blur/train/labels/img_71d5334bfe32f4f98bf3.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 104.1623475760873, ""motion_length_px"": 43}"
gaussian_blur,train,img_71d5334bfe32f4f98bf3,train/images/20240218_173304_jpg.rf.wztoJBBQYYmiLN6iafRg.jpg,detector_data/gaussian_blur/train/images/img_71d5334bfe32f4f98bf3.png,detector_data/gaussian_blur/train/labels/img_71d5334bfe32f4f98bf3.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 104.1623475760873, ""motion_length_px"": 43}"
clean,val,img_8c3faaee43cd5bd74289,valid/images/IMG-38_jpg.rf.HOj2D7yKUfW5vxfHPXCb.jpg,detector_data/clean/val/images/img_8c3faaee43cd5bd74289.png,detector_data/clean/val/labels/img_8c3faaee43cd5bd74289.txt,{}
motion_blur,val,img_8c3faaee43cd5bd74289,valid/images/IMG-38_jpg.rf.HOj2D7yKUfW5vxfHPXCb.jpg,detector_data/motion_blur/val/images/img_8c3faaee43cd5bd74289.png,detector_data/motion_blur/val/labels/img_8c3faaee43cd5bd74289.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 143.8021247243017, ""motion_length_px"": 43}"
defocus_blur,val,img_8c3faaee43cd5bd74289,valid/images/IMG-38_jpg.rf.HOj2D7yKUfW5vxfHPXCb.jpg,detector_data/defocus_blur/val/images/img_8c3faaee43cd5bd74289.png,detector_data/defocus_blur/val/labels/img_8c3faaee43cd5bd74289.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 143.8021247243017, ""motion_length_px"": 43}"
gaussian_blur,val,img_8c3faaee43cd5bd74289,valid/images/IMG-38_jpg.rf.HOj2D7yKUfW5vxfHPXCb.jpg,detector_data/gaussian_blur/val/images/img_8c3faaee43cd5bd74289.png,detector_data/gaussian_blur/val/labels/img_8c3faaee43cd5bd74289.txt,"{""defocus_radius_px"": 13, ""gaussian_sigma_px"": 6.5, ""motion_angle_deg"": 143.8021247243017, ""motion_length_px"": 43}"
clean,val,img_762c174381e2eefac15e,valid/images/11282_png.rf.Npp9zE4m5b3xGLx9B0SK.png,detector_data/clean/val/images/img_762c174381e2eefac15e.png,detector_data/clean/val/labels/img_762c174381e2eefac15e.txt,{}
