source_image,split,reason,detail
train/images/20240211_154432_jpg.rf.daRIQ5wVWqH4rpUnAUdu.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0176811488858, max=0.872553710351); image excluded instead of clipping/distorting ground truth."
train/images/20240211_162333_jpg.rf.CrrVo68GsyjXLUWoEBJR.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0363750857422, max=1.07022434911); image excluded instead of clipping/distorting ground truth."
train/images/20240211_162642_jpg.rf.ss0J2gl7zyTdl9tGc6nT.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.177260302644, max=1.01763844903); image excluded instead of clipping/distorting ground truth."
train/images/20240211_162726_jpg.rf.E7YMyPvkXwIXfY45e6xP.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0525783675066, max=1.07690531015); image excluded instead of clipping/distorting ground truth."
train/images/20240211_164434_jpg.rf.Vg5R2tbW1lbNGoHtK06K.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.00668479208832, max=0.475127487399); image excluded instead of clipping/distorting ground truth."
train/images/20240214_135911_jpg.rf.RttsBKGldWMVQrU5utQz.jpg,train,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=0.339508038941, max=1.00571609555); image excluded instead of clipping/distorting ground truth."
train/images/20240218_145143_jpg.rf.njUuZN7bFlFoCPq60b63.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.288459665155, max=1.1054367375); image excluded instead of clipping/distorting ground truth."
train/images/20240218_145946_jpg.rf.CEY1OfYYT8TpvR7RK65X.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.211699681394, max=1.00044572639); image excluded instead of clipping/distorting ground truth."
train/images/20240218_153153_jpg.rf.SGJlBIhz9rNGgPONCsb9.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.216666085121, max=1.04411608812); image excluded instead of clipping/distorting ground truth."
train/images/20240218_162115_jpg.rf.Ebz5E7nJyDypcyvXfoAd.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0324420201883, max=0.748870529095); image excluded instead of clipping/distorting ground truth."
