epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.587,0.92821,1.52111,2.33308,0.95818,0.89586,0.96845,0.80553,0.71549,0.56619,2.25564,0.000662857,0.000662857,0.000662857
2,419.961,0.73265,0.601,1.87112,0.9374,0.92071,0.96165,0.80357,0.73788,0.60243,1.8996,0.00128565,0.00128565,0.00128565
3,627.904,0.69834,0.5372,1.76868,0.89836,0.89956,0.94538,0.79573,0.67285,0.76643,2.02772,0.00186444,0.00186444,0.00186444
4,835.368,0.66531,0.50926,1.76577,0.95622,0.90414,0.95515,0.82701,0.62708,0.5273,2.46864,0.001802,0.001802,0.001802
5,1044.62,0.6362,0.46945,1.73028,0.95466,0.92186,0.95872,0.81909,0.66246,0.54904,2.23205,0.001736,0.001736,0.001736
6,1252.03,0.62987,0.45319,1.67893,0.91253,0.93832,0.95719,0.82109,0.63809,0.52352,1.94033,0.00167,0.00167,0.00167
7,1457.24,0.589,0.419,1.6434,0.95353,0.93846,0.97528,0.85365,0.61984,0.46129,1.9744,0.001604,0.001604,0.001604
8,1663.01,0.5724,0.39158,1.61885,0.97242,0.95964,0.98315,0.88213,0.55438,0.40359,1.98875,0.001538,0.001538,0.001538
9,1869.73,0.55654,0.37582,1.58292,0.96835,0.95858,0.98331,0.89011,0.53153,0.41463,1.96934,0.001472,0.001472,0.001472
10,2079.27,0.52996,0.36551,1.56489,0.98276,0.94423,0.9818,0.88128,0.58075,0.43138,1.87679,0.001406,0.001406,0.001406
11,2286.66,0.50217,0.34381,1.56019,0.97109,0.95387,0.98295,0.90235,0.49856,0.37545,1.98293,0.00134,0.00134,0.00134
12,2495.41,0.49743,0.33796,1.51051,0.96656,0.95786,0.97882,0.885,0.52451,0.39403,2.01484,0.001274,0.001274,0.001274
13,2703.26,0.49569,0.33283,1.49163,0.97234,0.95697,0.9844,0.89129,0.51466,0.36241,2.00978,0.001208,0.001208,0.001208
14,2910.29,0.47473,0.33065,1.47424,0.95715,0.95164,0.98399,0.89812,0.51332,0.39863,1.91854,0.001142,0.001142,0.001142
15,3117.32,0.46648,0.31898,1.49005,0.97161,0.95858,0.98294,0.90633,0.50373,0.37482,1.89362,0.001076,0.001076,0.001076
16,3322.97,0.47425,0.32024,1.52982,0.96341,0.9716,0.98623,0.90602,0.48728,0.37007,1.99839,0.00101,0.00101,0.00101
17,3526.56,0.44173,0.30435,1.46648,0.97019,0.96568,0.98716,0.90784,0.4894,0.35428,2.14462,0.000944,0.000944,0.000944
18,3731.18,0.43152,0.29798,1.47451,0.97255,0.96422,0.9843,0.91353,0.48009,0.35864,2.01138,0.000878,0.000878,0.000878
19,3935.61,0.42311,0.2957,1.41792,0.96335,0.96441,0.98737,0.90204,0.49893,0.36672,1.74741,0.000812,0.000812,0.000812
20,4142.58,0.42746,0.29703,1.43431,0.9819,0.96275,0.9856,0.91136,0.47274,0.34641,2.14684,0.000746,0.000746,0.000746
21,4350.26,0.40613,0.28063,1.42037,0.98773,0.95249,0.98573,0.91148,0.48404,0.35948,1.7515,0.00068,0.00068,0.00068
22,4557.91,0.39183,0.27968,1.39697,0.97574,0.96331,0.98617,0.91967,0.45407,0.34604,2.10925,0.000614,0.000614,0.000614
23,4767.1,0.38897,0.27704,1.37505,0.97029,0.96639,0.98535,0.91934,0.45202,0.33589,1.97739,0.000548,0.000548,0.000548
24,4976.18,0.37692,0.27185,1.36805,0.9759,0.96095,0.986,0.91922,0.45148,0.33569,1.94569,0.000482,0.000482,0.000482
25,5183.99,0.35733,0.26208,1.37894,0.98455,0.95976,0.98587,0.92199,0.44887,0.33937,1.85688,0.000416,0.000416,0.000416
26,5393.06,0.35908,0.25996,1.34739,0.95901,0.97278,0.9833,0.91666,0.4514,0.32874,1.87731,0.00035,0.00035,0.00035
27,5600.52,0.34951,0.25453,1.32665,0.97406,0.96686,0.983,0.91713,0.44205,0.32746,1.95647,0.000284,0.000284,0.000284
28,5808.36,0.32969,0.24633,1.31959,0.97047,0.96686,0.98488,0.92525,0.43274,0.32208,1.99684,0.000218,0.000218,0.000218
29,6016.72,0.32479,0.2424,1.29772,0.97261,0.96661,0.98688,0.92994,0.42463,0.31413,2.06893,0.000152,0.000152,0.000152
30,6226.13,0.31564,0.23831,1.30154,0.98351,0.95858,0.98668,0.93021,0.42823,0.31564,2.08409,8.6e-05,8.6e-05,8.6e-05
