epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.474,0.74465,0.88099,1.96654,0.85769,0.88402,0.87014,0.74819,0.6592,0.55853,2.14597,0.000666188,0.000666188,0.000666188
2,1286.76,0.64357,0.47893,1.71232,0.94774,0.92663,0.96953,0.84344,0.61326,0.48738,2.04405,0.00131966,0.00131966,0.00131966
3,1918.69,0.61719,0.44683,1.67057,0.967,0.93617,0.97791,0.85266,0.60533,0.4508,1.92676,0.00195993,0.00195993,0.00195993
4,2549.61,0.58525,0.41034,1.61319,0.94574,0.94876,0.97757,0.86354,0.58766,0.43289,1.80195,0.0019406,0.0019406,0.0019406
5,3185.31,0.54938,0.3721,1.58652,0.97473,0.9587,0.98495,0.87127,0.58519,0.39961,2.03472,0.0019208,0.0019208,0.0019208
6,3817.64,0.52057,0.35308,1.54313,0.97814,0.95327,0.9849,0.89558,0.52787,0.37704,2.22687,0.001901,0.001901,0.001901
7,4449.97,0.49713,0.33614,1.51507,0.96053,0.95032,0.98343,0.88455,0.53402,0.39476,1.73086,0.0018812,0.0018812,0.0018812
8,5081.11,0.47782,0.32713,1.49185,0.96733,0.94793,0.98003,0.90542,0.49466,0.38993,2.10988,0.0018614,0.0018614,0.0018614
9,5714,0.4693,0.31443,1.47177,0.97354,0.96686,0.98612,0.90633,0.48077,0.36821,1.90756,0.0018416,0.0018416,0.0018416
10,6360.53,0.44143,0.30284,1.43469,0.98278,0.94585,0.98392,0.8991,0.50633,0.37004,1.77909,0.0018218,0.0018218,0.0018218
11,6985.5,0.44414,0.30157,1.43592,0.97446,0.94675,0.98467,0.89983,0.50322,0.37538,1.91433,0.001802,0.001802,0.001802
12,7610.76,0.42244,0.28988,1.43475,0.97407,0.93609,0.97775,0.90153,0.48174,0.38611,1.93434,0.0017822,0.0017822,0.0017822
13,8239.76,0.41749,0.28982,1.40844,0.97836,0.96309,0.98551,0.90983,0.46512,0.33522,1.94023,0.0017624,0.0017624,0.0017624
14,8866.7,0.41244,0.2806,1.40103,0.95877,0.96316,0.9831,0.91212,0.46675,0.35466,1.96714,0.0017426,0.0017426,0.0017426
15,9491.48,0.4009,0.28253,1.37006,0.97585,0.95641,0.98079,0.90984,0.45619,0.33993,2.07582,0.0017228,0.0017228,0.0017228
16,10117,0.39707,0.27519,1.38739,0.98413,0.95402,0.98602,0.91893,0.44442,0.32045,2.00432,0.001703,0.001703,0.001703
