filename,words,split,plate_id
clean_plates/test/img_496a88d3e4a43fa08e74__p001.png,,test,plate_01443a0b36f21a7c415096d9
defocus_blurr_plate/test/img_496a88d3e4a43fa08e74__p001.png,,test,plate_01443a0b36f21a7c415096d9
gaussian_blurr_plate/test/img_496a88d3e4a43fa08e74__p001.png,,test,plate_01443a0b36f21a7c415096d9
motion_blurr_plate/test/img_496a88d3e4a43fa08e74__p001.png,,test,plate_01443a0b36f21a7c415096d9
clean_plates/test/img_c50075e0f399b4956aa9__p001.png,,test,plate_0168c39f1741da8e277c0957
defocus_blurr_plate/test/img_c50075e0f399b4956aa9__p001.png,,test,plate_0168c39f1741da8e277c0957
gaussian_blurr_plate/test/img_c50075e0f399b4956aa9__p001.png,,test,plate_0168c39f1741da8e277c0957
motion_blurr_plate/test/img_c50075e0f399b4956aa9__p001.png,,test,plate_0168c39f1741da8e277c0957
clean_plates/test/img_4cb87fef703eab4e55bb__p001.png,,test,plate_02cc454fa686f5c386655c70
defocus_blurr_plate/test/img_4cb87fef703eab4e55bb__p001.png,,test,plate_02cc454fa686f5c386655c70
gaussian_blurr_plate/test/img_4cb87fef703eab4e55bb__p001.png,,test,plate_02cc454fa686f5c386655c70
motion_blurr_plate/test/img_4cb87fef703eab4e55bb__p001.png,,test,plate_02cc454fa686f5c386655c70
clean_plates/test/img_4c14b1261e471bb97d31__p001.png,,test,plate_03065693f85e7e4c19dbdf40
defocus_blurr_plate/test/img_4c14b1261e471bb97d31__p001.png,,test,plate_03065693f85e7e4c19dbdf40
gaussian_blurr_plate/test/img_4c14b1261e471bb97d31__p001.png,,test,plate_03065693f85e7e4c19dbdf40
motion_blurr_plate/test/img_4c14b1261e471bb97d31__p001.png,,test,plate_03065693f85e7e4c19dbdf40
clean_plates/test/img_7929890a3fa7c8a65250__p001.png,,test,plate_032b90204c8c25406aba7adf
defocus_blurr_plate/test/img_7929890a3fa7c8a65250__p001.png,,test,plate_032b90204c8c25406aba7adf
gaussian_blurr_plate/test/img_7929890a3fa7c8a65250__p001.png,,test,plate_032b90204c8c25406aba7adf
motion_blurr_plate/test/img_7929890a3fa7c8a65250__p001.png,,test,plate_032b90204c8c25406aba7adf
clean_plates/test/img_4d642ed7dc00ab4e1264__p001.png,,test,plate_032be29b57d63102b719f33a
defocus_blurr_plate/test/img_4d642ed7dc00ab4e1264__p001.png,,test,plate_032be29b57d63102b719f33a
gaussian_blurr_plate/test/img_4d642ed7dc00ab4e1264__p001.png,,test,plate_032be29b57d63102b719f33a
motion_blurr_plate/test/img_4d642ed7dc00ab4e1264__p001.png,,test,plate_032be29b57d63102b719f33a
clean_plates/test/img_1f8094b554c2a459a32b__p001.png,,test,plate_03bf3226bcf4a61cf8f0a009
defocus_blurr_plate/test/img_1f8094b554c2a459a32b__p001.png,,test,plate_03bf3226bcf4a61cf8f0a009
gaussian_blurr_plate/test/img_1f8094b554c2a459a32b__p001.png,,test,plate_03bf3226bcf4a61cf8f0a009
motion_blurr_plate/test/img_1f8094b554c2a459a32b__p001.png,,test,plate_03bf3226bcf4a61cf8f0a009
clean_plates/test/img_b0895f0305d9ab0a1dc1__p001.png,,test,plate_0414b78ee3522aac5a8bbc5d
defocus_blurr_plate/test/img_b0895f0305d9ab0a1dc1__p001.png,,test,plate_0414b78ee3522aac5a8bbc5d
gaussian_blurr_plate/test/img_b0895f0305d9ab0a1dc1__p001.png,,test,plate_0414b78ee3522aac5a8bbc5d
motion_blurr_plate/test/img_b0895f0305d9ab0a1dc1__p001.png,,test,plate_0414b78ee3522aac5a8bbc5d
clean_plates/test/img_e26f016415422d93e57c__p001.png,,test,plate_05282753371ec0f5980a3fe5
defocus_blurr_plate/test/img_e26f016415422d93e57c__p001.png,,test,plate_05282753371ec0f5980a3fe5
gaussian_blurr_plate/test/img_e26f016415422d93e57c__p001.png,,test,plate_05282753371ec0f5980a3fe5
motion_blurr_plate/test/img_e26f016415422d93e57c__p001.png,,test,plate_05282753371ec0f5980a3fe5
clean_plates/test/img_e582041be27cfd818d46__p001.png,,test,plate_0562230cb2a9b6223ffe5fa0
defocus_blurr_plate/test/img_e582041be27cfd818d46__p001.png,,test,plate_0562230cb2a9b6223ffe5fa0
gaussian_blurr_plate/test/img_e582041be27cfd818d46__p001.png,,test,plate_0562230cb2a9b6223ffe5fa0
motion_blurr_plate/test/img_e582041be27cfd818d46__p001.png,,test,plate_0562230cb2a9b6223ffe5fa0
clean_plates/test/img_4076443a1416be8ab939__p001.png,,test,plate_05c326ea79f845742231dc50
defocus_blurr_plate/test/img_4076443a1416be8ab939__p001.png,,test,plate_05c326ea79f845742231dc50
gaussian_blurr_plate/test/img_4076443a1416be8ab939__p001.png,,test,plate_05c326ea79f845742231dc50
