filename,variant,split,plate_id,source_image,image_id,annotation_index,class_id,crop_width,crop_height,given_corners_normalized,blur_parameters
clean_plates/train/img_0ae930d06be18d5ed028__p001.png,clean,train,plate_fbfdedeffe992d8092bc04ec,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,img_0ae930d06be18d5ed028,1,0,126,77,"[[0.6968599033816425, 0.6824712643678161], [0.5446859903381643, 0.6824712643678161], [0.5446859903381643, 0.7931034482758621], [0.6968599033816425, 0.7931034482758621]]",{}
motion_blurr_plate/train/img_0ae930d06be18d5ed028__p001.png,motion_blur,train,plate_fbfdedeffe992d8092bc04ec,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,img_0ae930d06be18d5ed028,1,0,126,77,"[[0.6968599033816425, 0.6824712643678161], [0.5446859903381643, 0.6824712643678161], [0.5446859903381643, 0.7931034482758621], [0.6968599033816425, 0.7931034482758621]]","{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
defocus_blurr_plate/train/img_0ae930d06be18d5ed028__p001.png,defocus_blur,train,plate_fbfdedeffe992d8092bc04ec,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,img_0ae930d06be18d5ed028,1,0,126,77,"[[0.6968599033816425, 0.6824712643678161], [0.5446859903381643, 0.6824712643678161], [0.5446859903381643, 0.7931034482758621], [0.6968599033816425, 0.7931034482758621]]","{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
gaussian_blurr_plate/train/img_0ae930d06be18d5ed028__p001.png,gaussian_blur,train,plate_fbfdedeffe992d8092bc04ec,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,img_0ae930d06be18d5ed028,1,0,126,77,"[[0.6968599033816425, 0.6824712643678161], [0.5446859903381643, 0.6824712643678161], [0.5446859903381643, 0.7931034482758621], [0.6968599033816425, 0.7931034482758621]]","{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
clean_plates/train/img_132a85fd4f95e1313f99__p001.png,clean,train,plate_ba80afa6c4b931c8f5bc2f04,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,img_132a85fd4f95e1313f99,1,0,137,81,"[[0.6688888888888889, 0.6290502793296089], [0.5166666666666668, 0.6290502793296089], [0.5166666666666668, 0.7195530726256983], [0.6688888888888889, 0.7195530726256983]]",{}
motion_blurr_plate/train/img_132a85fd4f95e1313f99__p001.png,motion_blur,train,plate_ba80afa6c4b931c8f5bc2f04,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,img_132a85fd4f95e1313f99,1,0,137,81,"[[0.6688888888888889, 0.6290502793296089], [0.5166666666666668, 0.6290502793296089], [0.5166666666666668, 0.7195530726256983], [0.6688888888888889, 0.7195530726256983]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
defocus_blurr_plate/train/img_132a85fd4f95e1313f99__p001.png,defocus_blur,train,plate_ba80afa6c4b931c8f5bc2f04,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,img_132a85fd4f95e1313f99,1,0,137,81,"[[0.6688888888888889, 0.6290502793296089], [0.5166666666666668, 0.6290502793296089], [0.5166666666666668, 0.7195530726256983], [0.6688888888888889, 0.7195530726256983]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
gaussian_blurr_plate/train/img_132a85fd4f95e1313f99__p001.png,gaussian_blur,train,plate_ba80afa6c4b931c8f5bc2f04,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,img_132a85fd4f95e1313f99,1,0,137,81,"[[0.6688888888888889, 0.6290502793296089], [0.5166666666666668, 0.6290502793296089], [0.5166666666666668, 0.7195530726256983], [0.6688888888888889, 0.7195530726256983]]","{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
clean_plates/train/img_9ad1b29abd836db9bb57__p001.png,clean,train,plate_8b79813536fa966c7885763d,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,img_9ad1b29abd836db9bb57,1,0,185,101,"[[0.8045375218150087, 0.5339233038348085], [0.4816753926701571, 0.5339233038348085], [0.4816753926701571, 0.831858407079646], [0.8045375218150087, 0.831858407079646]]",{}
motion_blurr_plate/train/img_9ad1b29abd836db9bb57__p001.png,motion_blur,train,plate_8b79813536fa966c7885763d,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,img_9ad1b29abd836db9bb57,1,0,185,101,"[[0.8045375218150087, 0.5339233038348085], [0.4816753926701571, 0.5339233038348085], [0.4816753926701571, 0.831858407079646], [0.8045375218150087, 0.831858407079646]]","{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 6.703722862068915, ""motion_angle_deg"": 88.70141018841682, ""motion_length_px"": 13}"
