variant,split,image_id,source_image,image,label,blur_parameters
clean,train,img_0ae930d06be18d5ed028,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,detector_data/clean/train/images/img_0ae930d06be18d5ed028.png,detector_data/clean/train/labels/img_0ae930d06be18d5ed028.txt,{}
motion_blur,train,img_0ae930d06be18d5ed028,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,detector_data/motion_blur/train/images/img_0ae930d06be18d5ed028.png,detector_data/motion_blur/train/labels/img_0ae930d06be18d5ed028.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
defocus_blur,train,img_0ae930d06be18d5ed028,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,detector_data/defocus_blur/train/images/img_0ae930d06be18d5ed028.png,detector_data/defocus_blur/train/labels/img_0ae930d06be18d5ed028.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
gaussian_blur,train,img_0ae930d06be18d5ed028,train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,detector_data/gaussian_blur/train/images/img_0ae930d06be18d5ed028.png,detector_data/gaussian_blur/train/labels/img_0ae930d06be18d5ed028.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 3.12287904789814, ""motion_angle_deg"": 38.6501730902541, ""motion_length_px"": 9}"
clean,train,img_132a85fd4f95e1313f99,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,detector_data/clean/train/images/img_132a85fd4f95e1313f99.png,detector_data/clean/train/labels/img_132a85fd4f95e1313f99.txt,{}
motion_blur,train,img_132a85fd4f95e1313f99,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,detector_data/motion_blur/train/images/img_132a85fd4f95e1313f99.png,detector_data/motion_blur/train/labels/img_132a85fd4f95e1313f99.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
defocus_blur,train,img_132a85fd4f95e1313f99,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,detector_data/defocus_blur/train/images/img_132a85fd4f95e1313f99.png,detector_data/defocus_blur/train/labels/img_132a85fd4f95e1313f99.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
gaussian_blur,train,img_132a85fd4f95e1313f99,train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,detector_data/gaussian_blur/train/images/img_132a85fd4f95e1313f99.png,detector_data/gaussian_blur/train/labels/img_132a85fd4f95e1313f99.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.227097893566556, ""motion_angle_deg"": 53.583293444438205, ""motion_length_px"": 17}"
clean,train,img_9ad1b29abd836db9bb57,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,detector_data/clean/train/images/img_9ad1b29abd836db9bb57.png,detector_data/clean/train/labels/img_9ad1b29abd836db9bb57.txt,{}
motion_blur,train,img_9ad1b29abd836db9bb57,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,detector_data/motion_blur/train/images/img_9ad1b29abd836db9bb57.png,detector_data/motion_blur/train/labels/img_9ad1b29abd836db9bb57.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 6.703722862068915, ""motion_angle_deg"": 88.70141018841682, ""motion_length_px"": 13}"
defocus_blur,train,img_9ad1b29abd836db9bb57,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,detector_data/defocus_blur/train/images/img_9ad1b29abd836db9bb57.png,detector_data/defocus_blur/train/labels/img_9ad1b29abd836db9bb57.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 6.703722862068915, ""motion_angle_deg"": 88.70141018841682, ""motion_length_px"": 13}"
gaussian_blur,train,img_9ad1b29abd836db9bb57,train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,detector_data/gaussian_blur/train/images/img_9ad1b29abd836db9bb57.png,detector_data/gaussian_blur/train/labels/img_9ad1b29abd836db9bb57.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 6.703722862068915, ""motion_angle_deg"": 88.70141018841682, ""motion_length_px"": 13}"
clean,train,img_c539702aad6922576b7d,train/images/103_jpg.rf.TXtUElv7ae2gt8uVdQjW.jpg,detector_data/clean/train/images/img_c539702aad6922576b7d.png,detector_data/clean/train/labels/img_c539702aad6922576b7d.txt,{}
motion_blur,train,img_c539702aad6922576b7d,train/images/103_jpg.rf.TXtUElv7ae2gt8uVdQjW.jpg,detector_data/motion_blur/train/images/img_c539702aad6922576b7d.png,detector_data/motion_blur/train/labels/img_c539702aad6922576b7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 2.766871310741922, ""motion_angle_deg"": 39.682720448205146, ""motion_length_px"": 11}"
defocus_blur,train,img_c539702aad6922576b7d,train/images/103_jpg.rf.TXtUElv7ae2gt8uVdQjW.jpg,detector_data/defocus_blur/train/images/img_c539702aad6922576b7d.png,detector_data/defocus_blur/train/labels/img_c539702aad6922576b7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 2.766871310741922, ""motion_angle_deg"": 39.682720448205146, ""motion_length_px"": 11}"
gaussian_blur,train,img_c539702aad6922576b7d,train/images/103_jpg.rf.TXtUElv7ae2gt8uVdQjW.jpg,detector_data/gaussian_blur/train/images/img_c539702aad6922576b7d.png,detector_data/gaussian_blur/train/labels/img_c539702aad6922576b7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 2.766871310741922, ""motion_angle_deg"": 39.682720448205146, ""motion_length_px"": 11}"
clean,train,img_ca2bf5e703b6b876fb53,train/images/10457_png.rf.JywVEnYGq53UA23W0x8F.png,detector_data/clean/train/images/img_ca2bf5e703b6b876fb53.png,detector_data/clean/train/labels/img_ca2bf5e703b6b876fb53.txt,{}
motion_blur,train,img_ca2bf5e703b6b876fb53,train/images/10457_png.rf.JywVEnYGq53UA23W0x8F.png,detector_data/motion_blur/train/images/img_ca2bf5e703b6b876fb53.png,detector_data/motion_blur/train/labels/img_ca2bf5e703b6b876fb53.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.758050009603705, ""motion_angle_deg"": 31.548482775482714, ""motion_length_px"": 15}"
defocus_blur,train,img_ca2bf5e703b6b876fb53,train/images/10457_png.rf.JywVEnYGq53UA23W0x8F.png,detector_data/defocus_blur/train/images/img_ca2bf5e703b6b876fb53.png,detector_data/defocus_blur/train/labels/img_ca2bf5e703b6b876fb53.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.758050009603705, ""motion_angle_deg"": 31.548482775482714, ""motion_length_px"": 15}"
